date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:49	66765/66765	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:48:36%20GMT	https://peruoffset.pe/assets/images/microcorPeru.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/microcorPeru.png	(from https://peruoffset.pe/)
10:56:49	28945/28945	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:25%20GMT	https://peruoffset.pe/flexoPeru.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/flexoPeru.html	(from https://peruoffset.pe/)
10:56:50	48706/48706	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:48:38%20GMT	https://peruoffset.pe/assets/images/flexoPeru.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/flexoPeru.png	(from https://peruoffset.pe/)
10:56:50	26282/26282	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2014:04:25%20GMT	https://peruoffset.pe/tradePeru.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/tradePeru.html	(from https://peruoffset.pe/)
10:56:50	61928/61928	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:48:38%20GMT	https://peruoffset.pe/assets/images/tradePeru.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/tradePeru.png	(from https://peruoffset.pe/)
10:56:50	28633/28633	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:23%20GMT	https://peruoffset.pe/alimentos-y-bebidas.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/alimentos-y-bebidas.html	(from https://peruoffset.pe/)
10:56:50	28673/28673	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:24%20GMT	https://peruoffset.pe/belleza-y-cosmetica.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/belleza-y-cosmetica.html	(from https://peruoffset.pe/)
10:56:51	28424/28424	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:25%20GMT	https://peruoffset.pe/delivery.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/delivery.html	(from https://peruoffset.pe/)
10:56:51	28945/28945	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:25%20GMT	https://peruoffset.pe/higiene-y-limpieza.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/higiene-y-limpieza.html	(from https://peruoffset.pe/)
10:56:51	29032/29032	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:26%20GMT	https://peruoffset.pe/laboratorios-farmaceuticos.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/laboratorios-farmaceuticos.html	(from https://peruoffset.pe/)
